name,domain,da,pa_home,site_url,image_url,kind,recipes_on_punchfork,in_domains,moz_http
Real Simple,realsimple.com,90.0,71.0,https://www.realsimple.com/,https://fastimg1.global.ssl.fastly.net/pub/47/a6/47a6e1c3c54abd664f194c854c200e82_250x250.jpg,website,687,no,402
Better Homes & Gardens,bhg.com,84.0,71.0,https://www.bhg.com/,https://fastimg1.global.ssl.fastly.net/pub/50/a6/50a6fcb28f870684f4186be4c8522bc9_250x250.jpg,website,1215,no,402
TASTE,tastecooking.com,72.0,53.0,https://tastecooking.com/,https://fastimg1.global.ssl.fastly.net/pub/ed/8f/ed8f58356845c2bde8b2db0728c83b8d_250x250.jpg,website,649,no,200
Cookies and Cups,cookiesandcups.com,67.0,59.0,https://cookiesandcups.com/,https://fastimg1.global.ssl.fastly.net/pub/f6/3e/f63e702dbb7f2389ce61ca770d294572_250x250.jpg,blogger,1358,no,200
Oh My Veggies,ohmyveggies.com,67.0,58.0,https://ohmyveggies.com/,https://fastimg1.global.ssl.fastly.net/pub/28/79/2879f887fe2bf4b98a15b228a356a408_250x250.jpg,blogger,1002,no,3
Jessica Gavin,jessicagavin.com,66.0,58.0,https://www.jessicagavin.com/,https://fastimg1.global.ssl.fastly.net/pub/53/af/53af69ba229f30d9accef0ad6b18ffa2_250x250.jpg,blogger,1080,no,200
Table for Two,tablefortwoblog.com,65.0,58.0,https://www.tablefortwoblog.com/,https://fastimg1.global.ssl.fastly.net/pub/95/89/9589520abc1477f984c7f9760131fb36_250x250.jpg,blogger,1176,no,200
Peas and Crayons,peasandcrayons.com,64.0,57.0,https://peasandcrayons.com/,https://fastimg1.global.ssl.fastly.net/pub/30/1a/301af3fe6e2f310ee6ff2539ebd04c12_250x250.jpg,blogger,972,no,15
Taste and Tell,tasteandtellblog.com,63.0,59.0,https://www.tasteandtellblog.com/,https://fastimg1.global.ssl.fastly.net/pub/bd/3a/bd3a37bf42bff426d08a58c1cf0817e9_250x250.jpg,blogger,1664,no,200
A Cozy Kitchen,acozykitchen.com,63.0,56.0,https://www.acozykitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/73/30/73309e36500ccd768b54b22671701d44_250x250.jpg,blogger,658,no,200
Kalyn's Kitchen,kalynskitchen.com,62.0,58.0,https://kalynskitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/47/35/4735f4ec9c9f618bc8cb7a152f4f6443_250x250.jpg,blogger,1056,no,15
Elana's Pantry,elanaspantry.com,62.0,57.0,https://elanaspantry.com/,https://fastimg1.global.ssl.fastly.net/pub/aa/8d/aa8dec965fdfadd392c341f3d138c5ef_250x250.jpg,blogger,538,no,200
Family Fresh Meals,familyfreshmeals.com,61.0,53.0,https://www.familyfreshmeals.com/,https://fastimg1.global.ssl.fastly.net/pub/d4/37/d4374de3d7008ec78d941a56d6250423_250x250.jpg,blogger,1214,no,200
Running to the Kitchen,runningtothekitchen.com,60.0,57.0,https://www.runningtothekitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/56/04/5604ffc032a06b1a3c8dac3b69b9adee_250x250.jpg,blogger,1281,no,5
No Recipes,norecipes.com,60.0,56.0,https://norecipes.com/,https://fastimg1.global.ssl.fastly.net/pub/f8/5c/f85cbe39f5fa85b7f95690cbe9fc1190_250x250.jpg,blogger,301,no,200
